RangeFrequency,Chuan WIFI,MCS,Power_MAX(dBm),Power_MIN(dBm),EVM_MAX,EVM_MIN,FreqError_MAX(Hz),FreqError_MIN(Hz),SymClock_MAX,SymClock_Min
5G,802.11acHT40,2,-,-,-,-,23000,-23000,-,-
5G,802.11acHT40,3,-,-,-,-,23000,-23000,-,-
5G,802.11acHT40,4,-,-,-,-,23000,-23000,-,-
5G,802.11acHT40,5,-,-,-,-,23000,-23000,-,-
5G,802.11acHT40,6,-,-,-,-,23000,-23000,-,-
5G,802.11acHT40,7,-,-,-,-,23000,-23000,-,-
5G,802.11acHT40,8,-,-,-,-,23000,-23000,-,-
5G,802.11acHT40,9,19,13,-32,-,23000,-23000,-,-
5G,802.11acHT80,0,22.5,16,-5,-,23000,-23000,-,-
5G,802.11acHT80,1,-,-,-,-,23000,-23000,-,-
5G,802.11acHT80,2,-,-,-,-,23000,-23000,-,-
5G,802.11acHT80,3,-,-,-,-,23000,-23000,-,-
5G,802.11acHT80,4,-,-,-,-,23000,-23000,-,-
5G,802.11acHT80,5,-,-,-,-,23000,-23000,-,-
5G,802.11acHT80,6,-,-,-,-,23000,-23000,-,-
5G,802.11acHT80,7,-,-,-,-,23000,-23000,-,-
5G,802.11acHT80,8,-,-,-,-,23000,-23000,-,-
5G,802.11acHT80,9,19,15,-32,-,23000,-23000,-,-
5G,802.11acHT160,0,-,-,-,-,23000,-23000,-,-
5G,802.11acHT160,1,-,-,-,-,23000,-23000,-,-
5G,802.11acHT160,2,-,-,-,-,23000,-23000,-,-
5G,802.11acHT160,3,-,-,-,-,23000,-23000,-,-
5G,802.11acHT160,4,-,-,-,-,23000,-23000,-,-
5G,802.11acHT160,5,-,-,-,-,23000,-23000,-,-
5G,802.11acHT160,6,-,-,-,-,23000,-23000,-,-
5G,802.11acHT160,7,-,-,-,-,23000,-23000,-,-
5G,802.11acHT160,8,-,-,-,-,23000,-23000,-,-
5G,802.11acHT160,9,-,-,-,-,23000,-23000,-,-
